"subjectID","sex","age","camera","memory_task","attn_check","memory_score"
44009,"female",18,"No","audio",1,77.77777778
44010,"male",21,"No","visual",1,66.66666667
44010,"male",21,"No","audio",1,88.88888889
44013,"male",18,"No","visual",1,66.66666667
44013,"male",18,"No","audio",1,88.88888889
44055,"male",22,"Yes","audio",1,55.55555556
44055,"male",22,"Yes","visual",1,88.88888889
44064,"male",19,"No","visual",1,77.77777778
44064,"male",19,"No","audio",1,88.88888889
44067,"female",22,"Yes","visual",1,77.77777778
44067,"female",22,"Yes","audio",1,77.77777778
44069,"female",19,"Yes","visual",1,66.66666667
44069,"female",19,"Yes","audio",1,88.88888889
44072,"female",19,"No","audio",1,88.88888889
44072,"female",19,"No","visual",1,66.66666667
44078,"female",20,"No","visual",1,55.55555556
44078,"female",20,"No","audio",1,77.77777778
44087,"female",19,"Yes","visual",0,88.88888889
44087,"female",19,"Yes","audio",0,77.77777778
44096,"male",22,"Yes","visual",1,44.44444444
44096,"male",22,"Yes","audio",1,88.88888889
44102,"male",19,"Yes","audio",1,88.88888889
44102,"male",19,"Yes","visual",1,77.77777778
44109,"female",18,"Yes","audio",1,77.77777778
44109,"female",18,"Yes","visual",1,77.77777778
44113,"male",19,"No","visual",1,44.44444444
44113,"male",19,"No","audio",1,66.66666667
44116,"male",19,"Yes","visual",1,66.66666667
44116,"male",19,"Yes","audio",1,77.77777778
44122,"male",18,"No","visual",1,55.55555556
44122,"male",18,"No","audio",1,66.66666667
44133,"female",19,"No","audio",1,66.66666667
44133,"female",19,"No","visual",1,77.77777778
44134,"female",19,"No","visual",1,44.44444444
44134,"female",19,"No","audio",1,66.66666667
44135,"female",19,"Yes","visual",0,66.66666667
44135,"female",19,"Yes","audio",0,88.88888889
44138,"male",18,"Yes","visual",1,66.66666667
44138,"male",18,"Yes","audio",1,55.55555556
44140,"female",21,"Yes","audio",1,77.77777778
44140,"female",21,"Yes","visual",1,88.88888889
44143,"male",18,"No","visual",1,55.55555556
44143,"male",18,"No","audio",1,88.88888889
44144,"female",19,"Yes","visual",1,66.66666667
44144,"female",19,"Yes","audio",1,77.77777778
44150,"male",22,"Yes","visual",1,88.88888889
44150,"male",22,"Yes","audio",1,88.88888889
44154,"female",18,"No","audio",1,66.66666667
44154,"female",18,"No","visual",1,33.33333333
44157,"female",19,"Yes","visual",0,66.66666667
44157,"female",19,"Yes","audio",0,44.44444444
44162,"female",22,"No","visual",1,66.66666667
44162,"female",22,"No","audio",1,88.88888889
44175,"male",19,"No","audio",0,77.77777778
44175,"male",19,"No","visual",0,55.55555556
44177,"male",21,"No","audio",1,55.55555556
44177,"male",21,"No","visual",1,55.55555556
44181,"male",18,"No","audio",0,100
44181,"male",18,"No","visual",0,11.11111111
44184,"male",22,"No","visual",1,66.66666667
44184,"male",22,"No","audio",1,77.77777778
44185,"male",19,"No","audio",1,66.66666667
44185,"male",19,"No","visual",1,55.55555556
44190,"female",20,"No","audio",1,88.88888889
44190,"female",20,"No","visual",1,55.55555556
44194,"male",18,"No","audio",1,100
44194,"male",18,"No","visual",1,77.77777778
44197,"male",19,"No","visual",1,55.55555556
44197,"male",19,"No","audio",1,100
44214,"male",19,"No","audio",1,77.77777778
44214,"male",19,"No","visual",1,77.77777778
44221,"female",18,"No","audio",1,88.88888889
44221,"female",18,"No","visual",1,77.77777778
44225,"female",20,"Yes","audio",1,88.88888889
44225,"female",20,"Yes","visual",1,66.66666667
44227,"female",20,"No","visual",1,44.44444444
44227,"female",20,"No","audio",1,66.66666667
44229,"female",26,"Yes","visual",1,44.44444444
44229,"female",26,"Yes","audio",1,88.88888889
44238,"male",18,"Yes","audio",1,66.66666667
44238,"male",18,"Yes","visual",1,66.66666667
44253,"female",18,"Yes","audio",1,100
44253,"female",18,"Yes","visual",1,66.66666667
44255,"female",20,"Yes","audio",0,55.55555556
44255,"female",20,"Yes","visual",0,77.77777778
44256,"female",19,"Yes","audio",0,77.77777778
44256,"female",19,"Yes","visual",0,88.88888889
44258,"male",19,"No","audio",1,66.66666667
44258,"male",19,"No","visual",1,44.44444444
44259,"female",18,"No","audio",1,66.66666667
44259,"female",18,"No","visual",1,55.55555556
44264,"female",18,"No","audio",0,77.77777778
44264,"female",18,"No","visual",0,88.88888889
44265,"male",18,"Yes","audio",1,44.44444444
44265,"male",18,"Yes","visual",1,22.22222222
44269,"female",20,"Yes","audio",1,77.77777778
44269,"female",20,"Yes","visual",1,66.66666667
44270,"female",18,"Yes","audio",1,77.77777778
44270,"female",18,"Yes","visual",1,44.44444444
44273,"female",22,"Yes","audio",1,88.88888889
44273,"female",22,"Yes","visual",1,77.77777778
44280,"male",18,"Yes","audio",0,66.66666667
44280,"male",18,"Yes","visual",0,55.55555556
44284,"male",18,"Yes","visual",0,55.55555556
44284,"male",18,"Yes","audio",0,77.77777778
44288,"male",29,"No","audio",1,66.66666667
44288,"male",29,"No","visual",1,77.77777778
44297,"male",19,"Yes","audio",1,100
44297,"male",19,"Yes","visual",1,77.77777778
44301,"male",30,"No","audio",1,66.66666667
44301,"male",30,"No","visual",1,77.77777778
44302,"female",21,"Yes","audio",1,77.77777778
44302,"female",21,"Yes","visual",1,66.66666667
44303,"female",19,"No","audio",1,55.55555556
44303,"female",19,"No","visual",1,55.55555556
44311,"male",18,"No","audio",1,100
44311,"male",18,"No","visual",1,77.77777778
44321,"male",19,"Yes","audio",1,55.55555556
44321,"male",19,"Yes","visual",1,44.44444444
44323,"female",20,"Yes","audio",1,100
44323,"female",20,"Yes","visual",1,66.66666667
44325,"female",22,"No","audio",1,77.77777778
44325,"female",22,"No","visual",1,77.77777778
44331,"female",21,"Yes","audio",1,66.66666667
44331,"female",21,"Yes","visual",1,55.55555556
44333,"male",18,"No","audio",1,66.66666667
44333,"male",18,"No","visual",1,88.88888889
44351,"male",18,"No","audio",1,88.88888889
44351,"male",18,"No","visual",1,66.66666667
44352,"female",18,"Yes","visual",1,55.55555556
44352,"female",18,"Yes","audio",1,77.77777778
44354,"male",19,"Yes","visual",1,55.55555556
44354,"male",19,"Yes","audio",1,66.66666667
44357,"male",18,"Yes","audio",1,66.66666667
44357,"male",18,"Yes","visual",1,66.66666667
44370,"male",19,"Yes","audio",1,55.55555556
44370,"male",19,"Yes","visual",1,77.77777778
44375,"female",19,"No","audio",1,100
44375,"female",19,"No","visual",1,55.55555556
44376,"female",18,"Yes","visual",1,77.77777778
44376,"female",18,"Yes","audio",1,55.55555556
44377,"female",19,"No","audio",1,88.88888889
44377,"female",19,"No","visual",1,55.55555556
44382,"female",21,"No","audio",1,55.55555556
44382,"female",21,"No","visual",1,66.66666667
44386,"female",19,"No","audio",1,77.77777778
44386,"female",19,"No","visual",1,77.77777778
44393,"male",18,"Yes","visual",0,55.55555556
44393,"male",18,"Yes","audio",0,100
44394,"female",20,"No","audio",1,77.77777778
44394,"female",20,"No","visual",1,55.55555556
45303,"male",20,"No","audio",1,100
45303,"male",20,"No","visual",1,55.55555556
78655,"female",22,"No","audio",1,77.77777778
78655,"female",22,"No","visual",1,33.33333333
433933,"male",19,"No","visual",1,55.55555556
433933,"male",19,"No","audio",1,88.88888889
23955073,"female",21,"Yes","visual",1,55.55555556
23955073,"female",21,"Yes","audio",1,55.55555556
